Array,Array Code,Site (Description),Site Prefix,Site Suffix,CGSN Site Name,Node Description,Node Code,Node Site Sequence,CGSN Node Name NEW,Port,Instrument Description,"InstrumentClass",Instrument Series ,Insttruement Sequence #,Instrument Location,Depth/Height,OOI 
,AA,,##,AAAA,,,AA,CCC,,##,,CCCCC,A,,,,
,,,,,,,,DCL,,Port,Instrument Level,24,,,,,
Pioneer Array (CP),CP,Pioneer Central P1 Surface Mooring,01,CNSM,CP01CNSM,Pioneer Central P1 Surface Mooring,HM,1,CP01CNSM-HM001,,,,,,,,CP01CNSM-HM001--
,CP,,01,CNSM,,Surface Buoy,SB,D11,CP01CNSM-SBD11,1,Motion pack,MOPAK,0,000,"Buoy Well, center of Mass",0,CP01CNSM-SBD11-01-MOPAK0000
,CP,,01,CNSM,,,SB,D11,CP01CNSM-SBD11,6,Meteorology_bulk,METBK,A,000,Buoy Tower 3 M,3,CP01CNSM-SBD11-06-METBKA000
,CP,,01,CNSM,,,SB,D12,CP01CNSM-SBD12,6,Meteorology_bulk,METBK,A,000,Buoy Tower 3 M,3,CP01CNSM-SBD12-06-METBKA000
,CP,,01,CNSM,,,SB,D12,CP01CNSM-SBD12,4,pCO2_air-sea,PCO2A,A,000,"Instrument in well, probe in air and one in water",0,CP01CNSM-SBD12-04-PCO2AA000
,CP,,01,CNSM,,,SB,D12,CP01CNSM-SBD12,5,wave_spectra_surface,WAVSS,A,000,"Buoy Well, center of Mass",0,CP01CNSM-SBD12-05-WAVSSA000
,CP,,01,CNSM,,,SB,D12,CP01CNSM-SBD12,8,flux_direct_cov_HP,FDCHP,A,000,Buoy Tower 3 M,3,CP01CNSM-SBD12-08-FDCHPA000
,CP,,01,CNSM,,Mooring Riser,RI,D26,CP01CNSM-RID26,4,Velocity_point,VELPT,A,000,Near Surface Instrument Frame,5,CP01CNSM-RID26-04-VELPTA000
,CP,,01,CNSM,,,RI,D26,CP01CNSM-RID26,5,Modem_acoustic,ACOMM,0,000,Near Surface Instrument Frame,5,CP01CNSM-RID26-05-ACOMM0000
,CP,,01,CNSM,,,RI,D26,CP01CNSM-RID26,6,pH_stable,PHSEN,D,000,Near Surface Instrument Frame,5,CP01CNSM-RID26-06-PHSEND000
